region,etablissement,categorie,delegation,commune
Tanger-Tétouan-Al Hoceïma,Mohamed V,HP,,
Tanger-Tétouan-Al Hoceïma,C. d'oncologie d'Al Hoceima,CRO,,
Tanger-Tétouan-Al Hoceïma,Imzouren,HPr,,
Tanger-Tétouan-Al Hoceïma,Targuist,HPr,,
Tanger-Tétouan-Al Hoceïma,Mohamed V,HP,,
Tanger-Tétouan-Al Hoceïma,Ksar El Kebir,HPr,,
Tanger-Tétouan-Al Hoceïma,Lalla Meriem,HP,,
Tanger-Tétouan-Al Hoceïma,Abou Kacem Zahraoui,HP,,
Tanger-Tétouan-Al Hoceïma,Assilah,HPr,,
Tanger-Tétouan-Al Hoceïma,Mohammed Vi,HPr,,
Tanger-Tétouan-Al Hoceïma,Arrazi,HPsyR,,
Tanger-Tétouan-Al Hoceïma,Mohamed V,HR,,
Tanger-Tétouan-Al Hoceïma,Al Kortobi,HR,,
Tanger-Tétouan-Al Hoceïma,Duc De Tovar,HR,,
Tanger-Tétouan-Al Hoceïma,Centre d'oncologie,HIR,,
Tanger-Tétouan-Al Hoceïma,Hôpital mère enfant Mohamed VI,HIR,,
Tanger-Tétouan-Al Hoceïma,Hôpital psychiatrique Mohamed VI,CPU,,
Tanger-Tétouan-Al Hoceïma,Hôpital des spécialité Mohamed VI,HIR,,
Tanger-Tétouan-Al Hoceïma,Hôpital.Civil,HP,,
Tanger-Tétouan-Al Hoceïma,Errazi,HPsyP,,
Tanger-Tétouan-Al Hoceïma,Ben Karrich,HP,,
Tanger-Tétouan-Al Hoceïma,Hassan II,HPr,,
Tanger-Tétouan-Al Hoceïma,Mohammed VI,HP,,
Oriental,Edderak,HP,,
Oriental,Saidia,HPr,,
Oriental,Driouch,HP,,
Oriental,Hassan II,HP,,
Oriental,Guercif,HP,,
Oriental,Jrada,HP,,
Oriental,Mohammed Vi,HPr,,
Oriental,Hassani,HP,,
Oriental,Zaio,HPr,,
Oriental,Al Farabi,HR,,
Oriental,Hôpital Psychiatrique,CPU,,
Oriental,Hôpital des Spécialitéss,HIR,,
Oriental,Hôpital Mère-Enfant,HIR,,
Oriental,Centre d'oncoligie Hassan II,HIR,,
Oriental,HPr Laayoune Sidi Mellouk,HPr,,
Oriental,Taourirt,HP,,
Fès-Meknès,Sidi Said,HP,,
Fès-Meknès,Mohamed V,HP,,
Fès-Meknès,Pagnon,HP,,
Fès-Meknès,Moulay Ismail,HP,,
Fès-Meknès,Centre d'oncologie,CRO,,
Fès-Meknès,Marche Verte,HP,,
Fès-Meknès,S. Ahmed B. Driss Missouri,HPr,,
Fès-Meknès,Prince My Hassan,HP,,
Fès-Meknès,Al Ghassani,HR,,
Fès-Meknès,Ibn Al Baitar,HR,,
Fès-Meknès,Hôpital d'Oncologie,HIR,,
Fès-Meknès,Hôpital des spécialités,HIR,,
Fès-Meknès,Hôpital Mère-Enfant,HIR,,
Fès-Meknès,Omar Drissi,HIR,,
Fès-Meknès,Ibn Al Khatib,HR,,
Fès-Meknès,Ibn Al Hassan,CPU,,
Fès-Meknès,20 Aout (Azrou),HP,,
Fès-Meknès,Mohamed V,HP,,
Fès-Meknès,Hassan II,HPr,,
Fès-Meknès,Taounate,HP,,
Fès-Meknès,Ibn Baja,HP,,
Rabat-Salé-Kénitra,Al Idrissi,HP,,
Rabat-Salé-Kénitra,Zoubir Skirej,HPr,,
Rabat-Salé-Kénitra,Khémisset,HP,,
Rabat-Salé-Kénitra,Roummani,HPr,,
Rabat-Salé-Kénitra,Tiflet,HPr,,
Rabat-Salé-Kénitra,Ibn Sina,HIR,,
Rabat-Salé-Kénitra,Hôpital Des Spécialités,HIR,,
Rabat-Salé-Kénitra,Maternité Souissi,HIR,,
Rabat-Salé-Kénitra,Hôpital D'enfants,HIR,,
Rabat-Salé-Kénitra,Maternité Orangers,HIR,,
Rabat-Salé-Kénitra,Med Ben Abdellah,HIR,,
Rabat-Salé-Kénitra,My Youssef,HIR,,
Rabat-Salé-Kénitra,Moulay Youssef (Ancien hôpital de Rabat),HR,,
Rabat-Salé-Kénitra,El Ayachi,HIR,,
Rabat-Salé-Kénitra,Moulay Abdellah (Hôp.préféctoral),HP,,
Rabat-Salé-Kénitra,Arrazi,CPU,,
Rabat-Salé-Kénitra,Jorf Elmelha,HPr,,
Rabat-Salé-Kénitra,Sidi Kacem,HP,,
Rabat-Salé-Kénitra,Sidi Slimane,HP,,
Rabat-Salé-Kénitra,Princesse Lalla Aicha (Ancien Sidi Lahcen),HP,,
Béni Mellal-Khénifra,Haut Atlas Central,HP,,
Béni Mellal-Khénifra,Demnate,HPr,,
Béni Mellal-Khénifra,Beni Mellal,HR,,
Béni Mellal-Khénifra,Moulay Ismail,HPr,,
Béni Mellal-Khénifra,Beni Mellal,CRO,,
Béni Mellal-Khénifra,Fquih Ben Salah,HP,,
Béni Mellal-Khénifra,Souk Sebt,HPr,,
Béni Mellal-Khénifra,Khenifra,HP,,
Béni Mellal-Khénifra,M'Rirt,HPr,,
